energy flux ferrL ferrU TS WCDAtag
0.956 395.277 178.584 178.584 8.75 1
1.484 274.213 144.101 144.101 7.53 1
2.461 206.816 49.620 49.620 17.03 1
3.569 335.952 42.238 42.238 64.19 1
5.195 271.817 30.420 30.420 81.56 1
8.939 262.432 26.359 26.359 105.84 1
17.054 252.373 32.264 32.264 65.32 1
29.493 192.858 13.170 13.170 231.00 0
45.201 105.986 8.860 8.860 166.13 0
68.780 58.158 6.774 6.774 85.31 0
103.390 22.062 5.122 5.122 21.78 0
154.693 9.301 4.731 4.731 4.47 0
222.972 7.244 0.000 0.000 0.00 0
290.816 0.000 0.000 0.000 -0.00 0
357.863 1.336 0.000 0.000 0.02 0
543.232 0.000 0.000 0.000 0.00 0
809.327 0.000 0.000 0.000 0.00 0
